strain,accession,subtype,date,host,country,region,species,broad,order
A/blue-winged_teal/Ohio/12OS2229/2012|2012-09-07,CY186885,H3N6,2012-09-07,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/13OS1410/2013|2013-09-07,KJ526078,H3N6,2013-09-07,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/13OS1831/2013|2013-09-07,KJ567967,H3N2,2013-09-07,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/13OS2018/2013|2013-09-14,KJ568175,H3N8,2013-09-14,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/13OS3827/2013|2013-10-12,KJ568263,H3N8,2013-10-12,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/14OS1080/2014|2014-09-06,CY204070,H3N2,2014-09-06,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/15OS5135/2015|2015-09-12,KY583823,H3N8,2015-09-12,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/16OS1027/2016|2016-09-03,MG279790,H3N6,2016-09-03,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/16OS1061/2016|2016-09-07,MG280189,H3N2,2016-09-07,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/1714/2005|2005-01-01,EPI307584,H3N6,2005-01-01,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/17OS2004/2017|2017-09-08,MK237552,H3N8,2017-09-08,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/17OS2907/2017|2017-09-02,MK237894,H3N8,2017-09-02,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/17OS2910/2017|2017-09-02,MK237738,H3N8,2017-09-02,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/17OS2925/2017|2017-09-02,MK237092,H3N8,2017-09-02,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/1858/2006|2006-01-01,CY095646,H3N8,2006-01-01,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/1864/2006|2006-01-01,EPI131991,H3N8,2006-01-01,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/Blue-winged_Teal/Ohio/18OS1705/2018|2018-09-05,EPI1601624,H3N8,2018-09-05,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/31/1999|1999-10-16,CY018005,H3N2,1999-10-16,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/908/2002|2002-09-07,EPI33738,H3N2,2002-09-07,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/926/2002|2002-09-07,CY011034,H3N8,2002-09-07,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Prince_Edward_Island/00803/2010|2010-09-01,CY138462,H3N8,2010-09-01,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Prince_Edward_Island/00831/2010|2010-09-02,EPI434124,H3N7,2010-09-02,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Prince_Edward_Island/03912/2009|2009-08-19,EPI391932,H3N8,2009-08-19,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Prince_Edward_Island/03927/2009|2009-08-19,CY125291,H3N8,2009-08-19,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Saskatchewan/75/1982|1982-01-01,CY178549,H3N8,1982-01-01,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/South_Dakota/Sg-00446/2008|2008-08-11,EPI188124,H3N1,2008-08-11,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Texas/23-028557-002-original/2023|2023-09-17,EPI3391734,H3N8,2023-09-17,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
