strain,accession,subtype,date,host,country,region,species,broad,order,n_segments
A/canine/China/QiaoKe01/2017|2017-05-01,EPI1898054,H3N2,2017-05-01,Canine,China,China,Canine,canine,Canine,8
A/canine/China/Shanghai-0315-2019/2019|2019-03-08,EPI1502594,H3N2,2019-03-08,Canine,China,China,Canine,canine,Canine,8
A/canine/Florida/090919/2017|2017-05-26,MH266306,H3N2,2017-05-26,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/20170606-11/2017|2017-04-01,EPI1224171,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/20170606-17/2017|2017-04-01,EPI1224192,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/20170606-18/2017|2017-04-01,EPI1224130,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/20170606-2/2017|2017-04-01,EPI1224060,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/20170606-7/2017|2017-04-01,EPI1224034,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/20170606-8/2017|2017-04-01,EPI1224215,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/20170606-9/2017|2017-04-01,EPI1224173,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/269770/2015|2015-11-01,EPI1098581,H3N2,2015-11-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/88807.2/2017|2017-05-25,EPI1304923,H3N2,2017-05-25,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/CAIS-B1/2021|2021-06-01,OR732183,H3N2,2021-06-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/CAIS-F1/2021|2021-06-01,OR732191,H3N2,2021-06-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/CAIS-H1/2021|2021-06-01,OR732199,H3N2,2021-06-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Florida/CVM-B1/2021|2021-06-01,EPI2906921,H3N2,2021-06-01,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Florida/CVM-F1/2021|2021-06-01,EPI2906932,H3N2,2021-06-01,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Florida/CVM-H1/2021|2021-06-01,EPI2906941,H3N2,2021-06-01,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Fujian/11/2018|2018-11-01,ON877684,H3N2,2018-11-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Fujian/1108/2018|2018-12-01,ON877692,H3N2,2018-12-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Fujian/1109/2018|2018-12-01,ON877700,H3N2,2018-12-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Fujian/601/2018|2018-01-01,ON877708,H3N2,2018-01-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Georgia/101875/2015|2015-09-01,EPI1308172,H3N2,2015-09-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Georgia/104940/2015|2015-07-17,KX570966,H3N2,2015-07-17,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Georgia/20170606-19/2017|2017-05-25,MH363670,H3N2,2017-05-25,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Georgia/42632/2015|2015-06-12,EPI1777102,H3N2,2015-06-12,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Georgia/89750.1/2017|2017-05-26,MH363676,H3N2,2017-05-26,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Georgia/95391/2015|2015-07-13,KX570998,H3N2,2015-07-13,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Guangdong/01/2013|2013-04-01,KJ917343,H3N2,2013-04-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/01/2014|2014-02-01,KJ917369,H3N2,2014-02-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/02/2013|2013-04-01,KJ917351,H3N2,2013-04-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/02/2014|2014-02-01,EPI1307971,H3N2,2014-02-01,Canine,China,China,Canine,Canine,Canine,8
A/canine/Guangdong/03/2013|2013-11-01,KJ917359,H3N2,2013-11-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/04/2013|2013-11-01,KJ917360,H3N2,2013-11-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/05/2011|2011-02-01,EPI439987,H3N2,2011-02-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/1/2006|2006-06-01,EPI284208,H3N2,2006-06-01,Canine,China,China,Canine,Canine,Canine,8
A/canine/Guangdong/1/2007|2007-04-18,EPI284232,H3N2,2007-04-18,Canine,China,China,Canine,Canine,Canine,8
A/canine/Guangdong/1/2011|2011-02-01,EPI439981,H3N2,2011-02-01,Canine,China,China,Canine,Canine,Canine,8
A/canine/Guangdong/1/2018|2018-05-14,EPI1765826,H3N2,2018-05-14,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/12/2012|2012-09-15,EPI489742,H3N2,2012-09-15,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/2/2006|2006-08-01,EPI284217,H3N2,2006-08-01,Canine,China,China,Canine,Canine,Canine,8
A/canine/Guangdong/2/2007|2007-10-18,EPI284224,H3N2,2007-10-18,Canine,China,China,Canine,Canine,Canine,8
A/canine/Guangdong/2/2011|2011-02-01,JX195352,H3N2,2011-02-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/2/2018|2018-05-16,EPI1765827,H3N2,2018-05-16,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/23/2012|2012-09-18,KF826957,H3N2,2012-09-18,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/3/2011|2011-03-01,JX195360,H3N2,2011-03-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Guangdong/3/2018|2018-05-17,EPI1765828,H3N2,2018-05-17,Canine,China,China,Canine,canine,Canine,8
