strain,accession,subtype,date,host,country,region,species,broad,order,n_segments
A/canine/South_Korea/20170110-1F1/2016|2016-04-01,MG982710,H3N2,2016-04-01,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Tennessee/231361-1/2022|2022-10-10,OR738664,H3N2,2022-10-10,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Tennessee/CVM-231361-1/2022|2022-10-10,EPI2907479,H3N2,2022-10-10,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/042018-2/2023|2023-02-28,OR738672,H3N2,2023-02-28,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/042018-3/2023|2023-02-28,OR738680,H3N2,2023-02-28,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/21-011409-001/2021|2021-04-01,EPI1896559,H3N2,2021-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/2100186/2015|2015-09-01,EPI1308089,H3N2,2015-09-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/343907/2015|2015-12-22,EPI839132,H3N2,2015-12-22,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/CVM-0204151/2023|2023-01-20,EPI2907365,H3N2,2023-01-20,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-0204171/2023|2023-01-20,EPI2907357,H3N2,2023-01-20,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-042018-3/2023|2023-02-28,EPI2907488,H3N2,2023-02-28,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-0420182/2023|2023-02-28,EPI2907373,H3N2,2023-02-28,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-04914241/2023|2023-02-20,EPI2907136,H3N2,2023-02-20,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-04914311/2023|2023-02-20,EPI2907144,H3N2,2023-02-20,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-06880321/2023|2023-03-08,EPI2907152,H3N2,2023-03-08,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-0688041/2023|2023-03-07,EPI2907197,H3N2,2023-03-07,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-0688071/2023|2023-03-08,EPI2907205,H3N2,2023-03-08,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-09336121/2023|2023-03-24,EPI2907213,H3N2,2023-03-24,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-09336221/2023|2023-03-25,EPI2907221,H3N2,2023-03-25,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-0933631/2023|2023-03-23,EPI2907229,H3N2,2023-03-23,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-0933641/2023|2023-03-23,EPI2907237,H3N2,2023-03-23,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-09336441/2023|2023-03-27,EPI2907245,H3N2,2023-03-27,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-09336521/2023|2023-03-26,EPI2907253,H3N2,2023-03-26,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/CVM-3578541/2022|2022-11-09,EPI2906965,H3N2,2022-11-09,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Texas/M22-35785-4-1/2022|2022-11-09,OR732217,H3N2,2022-11-09,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-02041-5-1/2023|2023-01-20,OR737665,H3N2,2023-01-20,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-02041-7-1/2023|2023-01-20,OR737673,H3N2,2023-01-20,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-04914-24-1/2023|2023-02-20,OR737681,H3N2,2023-02-20,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-04914-31-1/2023|2023-02-20,OR737689,H3N2,2023-02-20,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-06880-32-1/2023|2023-03-08,OR737697,H3N2,2023-03-08,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-06880-4-1/2023|2023-03-07,OR737705,H3N2,2023-03-07,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-06880-7-1/2023|2023-03-08,OR737713,H3N2,2023-03-08,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-09336-12-1/2023|2023-03-24,OR737721,H3N2,2023-03-24,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-09336-22-1/2023|2023-03-25,OR737729,H3N2,2023-03-25,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-09336-3-1/2023|2023-03-23,OR737737,H3N2,2023-03-23,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-09336-4-1/2023|2023-03-23,OR737745,H3N2,2023-03-23,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-09336-44-1/2023|2023-03-27,OR737753,H3N2,2023-03-27,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Texas/M23-09336-52-1/2023|2023-03-26,OR737761,H3N2,2023-03-26,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Thailand/CU-DC5299/2012|2012-01-15,KC599550,H3N2,2012-01-15,Canine,Thailand,Southeast Asia,Canine,canine,Canine,8
A/canine/Tianjin/368/2017|2017-11-01,ON878007,H3N2,2017-11-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Tianjin/570/2018|2018-01-01,ON878015,H3N2,2018-01-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Tianjin/643/2018|2018-03-01,ON878023,H3N2,2018-03-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Tianjin/83/2018|2018-09-01,ON878031,H3N2,2018-09-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Tianjin/84/2018|2018-09-01,ON878039,H3N2,2018-09-01,Canine,China,China,Canine,canine,Canine,8
