strain	accession	subtype	date	host	country	region	species	broad	order
A/chicken/Guangxi/165C7/2014	KT022322	H3N2	2014-04-01	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/1329/2022	OQ291890	H3N8	2022-04-25	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/1369/2022	OQ291898	H3N8	2022-04-25	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/199/2022	OQ291906	H3N8	2022-01-09	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/4313/2021	OQ291914	H3N8	2021-12-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/4362/2021	OQ291922	H3N8	2021-12-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/4398/2021	OQ291930	H3N8	2021-12-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/4463/2021	OQ291938	H3N8	2021-12-25	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/4525/2021	OQ291946	H3N8	2021-12-25	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/856/2022	OQ291954	H3N8	2022-03-06	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/898/2022	OQ291962	H3N8	2022-03-06	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangzhou/943/2022	EPI2594695	H3N8	2022-03-06	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Henan/F0308/2022	EPI2167510	H3N8	2022-03-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Henan/F0316/2022	EPI2167509	H3N8	2022-03-16	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Henan_Shangqiu/SQ2049/2023	PP758473	H3N3	2023-03-25	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Hong_Kong/21-17040/2021	EPI2200705	H3N8	2021-12-14	Avian	Hong Kong	China	Chicken	chicken	Galliformes
A/chicken/Hong_Kong/21-17632/2021	EPI2200713	H3N8	2021-12-28	Avian	Hong Kong	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/1/2022	OQ291978	H3N8	2022-01-04	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/104/2022	OQ291986	H3N8	2022-01-04	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/12/2022	OQ291994	H3N8	2022-01-04	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/168/2022	OQ292002	H3N8	2022-02-16	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/17/2022	OQ292010	H3N8	2022-01-04	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/175/2022	OQ292018	H3N8	2022-02-16	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/190/2022	OQ292026	H3N8	2022-02-16	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/209/2022	OQ292034	H3N8	2022-02-16	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/216/2022	OQ292042	H3N8	2022-02-16	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/222/2022	OQ292050	H3N8	2022-02-16	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/231/2022	OQ292058	H3N8	2022-02-16	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2524/2021	OQ292066	H3N8	2021-12-07	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2542/2021	OQ292074	H3N8	2021-12-07	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2550/2021	OQ292082	H3N8	2021-12-07	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2568/2021	OQ292090	H3N8	2021-12-07	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2601/2021	OQ292098	H3N8	2021-12-07	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2703/2021	OQ292106	H3N8	2021-12-23	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2728/2021	OQ292114	H3N8	2021-12-23	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/297/2022	OQ292122	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/305/2022	OQ292130	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/310/2022	OQ292138	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/320/2022	OQ292146	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/325/2022	OQ292154	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/333/2022	OQ292162	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/34/2022	OQ292170	H3N8	2022-01-04	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/356/2022	OQ292178	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/361/2022	OQ292186	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/456/2022	OQ292194	H3N8	2022-03-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/463/2022	OQ292202	H3N8	2022-03-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/487/2022	OQ292210	H3N8	2022-03-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/50/2022	OQ292218	H3N8	2022-01-04	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/567/2022	OQ292226	H3N8	2022-04-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/677/2022	OQ292234	H3N8	2022-04-27	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/684/2022	OQ292242	H3N8	2022-04-27	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/78/2022	OQ292250	H3N8	2022-01-04	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Italy/5945/95	AF213910	H3N2	1995-XX-XX	Avian	Italy	Europe	Chicken	chicken	Galliformes
A/chicken/Jiangsu/12.30_WZNHQ013-P/2014(Mixed)	EPI666946	H3N2	2014-12-30	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/A3123/2022	EPI2047606	H3N8	2022-03-21	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/B314/2022	EPI2047622	H3N8	2022-03-21	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/C312/2022	EPI2047642	H3N8	2022-03-21	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/CKJS03/2022	OP024214	H3N8	2022-05-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/CKJS610/2022	OP225619	H3N8	2022-05-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/CKJS612/2022	OP225627	H3N8	2022-05-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/CKJS64/2022	OP225635	H3N8	2022-05-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/JS13/2022	PQ681287	H3N8	2022-11-20	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/01.08_YGCB018-P/2015(H3N2)	EPI660868	H3N2	2015-01-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/02.05_YGYXG001-P/2015(H3N2)	EPI660828	H3N2	2015-02-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/10526/2022	EPI2594862	H3N8	2022-02-26	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/10532/2022	EPI2594838	H3N8	2022-02-26	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/10541/2022	EPI2594814	H3N8	2022-02-26	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/10580/2022	EPI2595272	H3N8	2022-02-26	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/10598/2022	EPI2595418	H3N8	2022-02-26	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11740/2022	EPI2595702	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11741/2022	EPI2595482	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11765/2022	EPI2595883	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11767/2022	EPI2595875	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11774/2022	EPI2595867	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11775/2022	EPI2595859	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11782/2022	EPI2595851	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11796/2022	EPI2595843	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11803/2022	EPI2595835	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11816/2022	EPI2595827	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12234/2022	EPI2595819	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12240/2022	EPI2595907	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12248/2022	EPI2595800	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12277/2022	EPI2595781	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12291/2022	EPI2595762	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12292/2022	EPI2595743	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12303/2022	EPI2595724	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12309/2022	EPI2595705	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/1975/2022	EPI2595686	H3N8	2022-01-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/3236/2022	EPI2595891	H3N8	2022-01-15	Avian	China	China	Chicken	chicken	Galliformes
