strain	accession	subtype	date	host	country	region	species	broad	order
A/northern_pintail/Interior_Alaska/9BM7258R0/2009	EPI450923	H3N8	2009-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7368R0/2009	EPI450947	H3N8	2009-08-07	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7836R0/2009	EPI450951	H3N8	2009-08-08	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM8448R0/2009	EPI436324	H3N1	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM8459R0/2009	EPI436253	H3N1	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM8464R0/2009	EPI436312	H3N1	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM8502R0/2009	EPI436313	H3N1	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM8553R0/2009	EPI450980	H3N8	2009-08-10	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM8657R1/2009	EPI451039	H3N8	2009-08-10	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM8907R0/2009	EPI450991	H3N8	2009-08-11	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM9153R0/2009	EPI436314	H3N8	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM9447R0/2009	EPI451034	H3N8	2009-08-13	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM9611R0/2009	EPI451027	H3N8	2009-08-13	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM9973R0/2009	EPI436317	H3N1	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Minnesota/AI09-4322/2009	EPI447905	H3N8	2009-09-12	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/northern_pintail/Nevada/AH0033473/2015	KY550778	H3N8	2015-11-07	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/New_Brunswick/03547/2009	EPI391725	H3N8	2009-09-11	Avian	Canada	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Novosibirsk_region/3289k/2020	EPI1849969	H3N8	2020-08-29	Avian	Russia	West Asia	Duck	duck	Anseriformes
A/northern_pintail/Oregon/44249-559/2006	EPI290580	H3N8	2006-08-22	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/Northern_Pintail/Russia_Primorje/298/2019	EPI1657095	H3N8	2019-10-27	Avian	Russia	West Asia	Northern Pintail	duck	Anseriformes
A/northern_pintail/Russia_Primorje/96T/2020	EPI1850496	H3N8	2020-10-03	Avian	Russia	West Asia	Duck	duck	Anseriformes
A/northern_pintail/Saskatchewan/22910/2007	EPI222397	H3N2	2007-08-10	Avian	Canada	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/South_Dakota/Sg-00461/2008	CY042383	H3N8	2008-08-19	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Wisconsin/2737/2009	EPI333851	H3N2	2009-10-17	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Yakutia/14/2020	EPI1848207	H3N8	2020-08-13	Avian	Russia	West Asia	Duck	duck	Anseriformes
A/northern_shoveler/_Mongolia/973/2009	EPI538416	H3N8	2009-09-15	Avian	Mongolia	West Asia	Northern Shoveler	duck	Anseriformes
A/northern_shoveler/Alaska/7MP1026/2007	CY043965	H3N8	2007-09-07	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
